EmployeeID,ExitDate,ExitReason,TenureAtExit_Months,RehireEligible
EMP1002,2025-01-08,End of Contract,40,Yes
EMP1043,2025-02-26,Work Conditions,28,No
EMP1075,2025-05-20,Better Opportunity,36,Yes
EMP1079,2025-09-01,End of Contract,30,Yes
EMP1080,2024-10-25,Work Conditions,19,No
EMP1084,2023-06-02,Salary Issues,44,No
EMP1088,2024-08-24,Health Issues,19,No
EMP1091,2025-03-20,Better Opportunity,12,Yes
EMP1097,2023-01-22,End of Contract,35,Yes
EMP1098,2024-07-01,End of Contract,32,Yes
EMP1134,2025-11-02,Work Conditions,4,No
EMP1137,2022-09-29,Better Opportunity,46,Yes
EMP1142,2025-03-04,Better Opportunity,41,Yes
EMP1157,2025-02-24,Better Opportunity,10,Yes
EMP1168,2025-06-18,Salary Issues,9,No
EMP1172,2025-08-29,Better Opportunity,31,Yes
EMP1177,2024-11-08,End of Contract,17,Yes
EMP1183,2024-11-28,Work Conditions,13,No
EMP1238,2025-04-10,Health Issues,8,No
EMP1240,2025-08-17,End of Contract,37,Yes
EMP1298,2023-10-07,Better Opportunity,41,Yes
EMP1309,2025-05-10,End of Contract,27,Yes
EMP1310,2025-10-23,Work Conditions,15,No
EMP1329,2025-11-02,Work Conditions,22,No
EMP1341,2023-05-29,Family Reasons,40,Yes
EMP1342,2025-05-11,Better Opportunity,14,Yes
EMP1357,2024-06-25,Better Opportunity,37,Yes
EMP1370,2024-10-21,Better Opportunity,19,Yes
EMP1389,2025-10-12,End of Contract,9,Yes
EMP1394,2025-04-23,Work Conditions,10,No
EMP1409,2024-09-24,Salary Issues,15,No
EMP1425,2022-10-16,Family Reasons,46,Yes
EMP1433,2025-09-08,End of Contract,21,Yes
EMP1454,2025-03-03,End of Contract,15,Yes
EMP1469,2025-08-23,Salary Issues,22,No
EMP1471,2025-04-15,Better Opportunity,11,Yes
EMP1499,2025-08-09,Better Opportunity,8,Yes
EMP1517,2025-06-05,Better Opportunity,23,Yes
EMP1526,2025-10-04,Family Reasons,11,Yes
EMP1555,2025-02-23,Work Conditions,14,No
EMP1573,2024-11-09,Better Opportunity,17,Yes
EMP1577,2024-04-23,Better Opportunity,41,Yes
EMP1579,2024-08-19,Better Opportunity,17,Yes
EMP1601,2023-12-13,Better Opportunity,32,Yes
EMP1607,2022-10-02,Salary Issues,44,No
EMP1620,2025-03-15,End of Contract,24,Yes
EMP1622,2024-11-12,Better Opportunity,17,Yes
EMP1623,2025-01-11,End of Contract,27,Yes
EMP1626,2025-09-24,Better Opportunity,47,Yes
EMP1635,2023-08-26,Better Opportunity,37,Yes
EMP1640,2024-09-29,Salary Issues,23,No
EMP1647,2025-09-30,Better Opportunity,8,Yes
EMP1653,2025-07-13,End of Contract,41,Yes
EMP1679,2023-10-25,Better Opportunity,30,Yes
EMP1683,2024-01-25,Better Opportunity,42,Yes
EMP1707,2025-09-06,Better Opportunity,22,Yes
EMP1714,2023-12-11,End of Contract,25,Yes
EMP1718,2025-04-26,End of Contract,11,Yes
EMP1739,2023-07-04,Better Opportunity,36,Yes
EMP1741,2023-04-22,Better Opportunity,35,Yes
EMP1752,2025-09-12,End of Contract,28,Yes
EMP1771,2025-10-24,Family Reasons,28,Yes
EMP1790,2024-11-06,End of Contract,26,Yes
EMP1793,2025-11-09,Family Reasons,12,Yes
EMP1814,2025-05-25,Better Opportunity,32,Yes
EMP1845,2024-09-04,Better Opportunity,24,Yes
EMP1851,2025-09-13,Salary Issues,8,No
EMP1872,2023-06-19,Better Opportunity,39,Yes
EMP1883,2025-03-14,End of Contract,16,Yes
EMP1888,2025-11-15,Family Reasons,7,Yes
EMP1889,2025-10-22,Family Reasons,10,Yes
EMP1923,2025-04-19,End of Contract,29,Yes
EMP1959,2024-03-27,Better Opportunity,22,Yes
EMP1978,2025-03-27,Family Reasons,29,Yes
EMP1990,2022-02-28,Family Reasons,46,Yes
EMP2005,2025-10-11,End of Contract,6,Yes
EMP2036,2025-08-31,Better Opportunity,10,Yes
EMP2048,2024-07-21,End of Contract,25,Yes
EMP2050,2022-12-16,End of Contract,43,Yes
EMP2057,2024-10-13,Health Issues,37,No
EMP2070,2025-01-14,Better Opportunity,35,Yes
EMP2081,2024-06-06,Health Issues,46,No
EMP2097,2024-03-03,Better Opportunity,30,Yes
EMP2098,2025-03-11,Work Conditions,44,No
EMP2101,2025-11-02,Salary Issues,9,No
EMP2102,2023-10-22,End of Contract,33,Yes
EMP2109,2025-10-09,Better Opportunity,10,Yes
EMP2127,2024-12-23,Family Reasons,20,Yes
EMP2128,2023-05-11,Family Reasons,32,Yes
EMP2160,2023-10-12,Better Opportunity,36,Yes
EMP2177,2022-10-31,Better Opportunity,39,Yes
EMP2205,2025-09-20,Health Issues,3,No
EMP2209,2025-05-31,Salary Issues,14,No
EMP2217,2025-09-27,Better Opportunity,8,Yes
EMP2218,2024-11-09,Work Conditions,44,No
EMP2223,2024-02-17,Family Reasons,27,Yes
EMP2231,2023-03-23,Salary Issues,36,No
EMP2250,2025-02-03,Salary Issues,28,No
EMP2257,2023-05-23,Salary Issues,31,No
EMP2258,2025-10-23,End of Contract,15,Yes
EMP2272,2025-10-22,End of Contract,4,Yes
EMP2275,2025-04-16,Work Conditions,13,No
EMP2276,2023-11-19,End of Contract,26,Yes
EMP2281,2024-04-26,Better Opportunity,33,Yes
EMP2304,2025-04-11,End of Contract,27,Yes
EMP2315,2025-10-09,End of Contract,6,Yes
EMP2359,2024-05-04,End of Contract,23,Yes
EMP2371,2025-05-29,End of Contract,42,Yes
EMP2374,2025-11-10,Terminated,6,No
EMP2387,2025-10-11,Better Opportunity,45,Yes
EMP2395,2025-10-21,End of Contract,23,Yes
EMP2404,2025-06-01,Salary Issues,10,No
EMP2408,2025-07-08,Family Reasons,26,Yes
EMP2422,2025-11-08,Better Opportunity,6,Yes
EMP2433,2024-07-23,Better Opportunity,39,Yes
EMP2445,2024-01-29,End of Contract,32,Yes
EMP2451,2023-05-17,Family Reasons,46,Yes
EMP2455,2025-08-28,End of Contract,19,Yes
EMP2493,2025-04-08,Family Reasons,24,Yes
EMP2496,2022-12-18,Work Conditions,44,No
EMP2498,2024-06-16,End of Contract,24,Yes
EMP2515,2025-09-08,Better Opportunity,46,Yes
EMP2519,2025-09-18,End of Contract,42,Yes
EMP2539,2023-08-01,Health Issues,37,No
EMP2550,2025-06-11,Family Reasons,11,Yes
EMP2556,2025-04-20,Better Opportunity,25,Yes
EMP2563,2023-02-24,Better Opportunity,39,Yes
EMP2583,2025-11-09,Better Opportunity,20,Yes
EMP2648,2025-07-10,Better Opportunity,16,Yes
EMP2658,2024-09-29,Work Conditions,15,No
EMP2677,2024-11-14,End of Contract,24,Yes
EMP2711,2025-02-25,Better Opportunity,11,Yes
EMP2713,2025-09-24,End of Contract,38,Yes
EMP2724,2022-04-04,End of Contract,45,Yes
EMP2771,2024-07-05,End of Contract,31,Yes
EMP2774,2025-06-04,Better Opportunity,11,Yes
EMP2778,2025-04-14,End of Contract,18,Yes
EMP2787,2023-09-09,End of Contract,45,Yes
EMP2789,2025-04-06,End of Contract,43,Yes
EMP2813,2025-07-13,End of Contract,8,Yes
EMP2827,2024-05-25,Family Reasons,19,Yes
EMP2833,2024-02-25,Better Opportunity,26,Yes
EMP2839,2022-10-03,Better Opportunity,45,Yes
EMP2845,2024-07-20,End of Contract,35,Yes
EMP2869,2023-09-22,Family Reasons,42,Yes
EMP2872,2025-07-27,End of Contract,16,Yes
EMP2880,2024-02-05,End of Contract,25,Yes
EMP2908,2025-07-20,Work Conditions,8,No
EMP2929,2025-06-21,Salary Issues,32,No
EMP2932,2025-06-03,End of Contract,15,Yes
EMP2935,2023-10-31,Salary Issues,33,No
EMP2936,2024-11-28,Salary Issues,21,No
EMP2943,2025-05-06,Better Opportunity,12,Yes
EMP2951,2024-03-10,End of Contract,36,Yes
EMP2981,2024-10-04,Better Opportunity,17,Yes
EMP2990,2024-06-04,End of Contract,19,Yes
EMP3030,2025-06-17,End of Contract,21,Yes
EMP3033,2024-05-18,Better Opportunity,35,Yes
EMP3053,2022-06-07,Salary Issues,44,No
EMP3059,2024-09-14,End of Contract,35,Yes
EMP3073,2025-07-12,End of Contract,31,Yes
EMP3085,2024-01-06,Better Opportunity,25,Yes
EMP3086,2025-08-10,Family Reasons,24,Yes
EMP3087,2025-10-25,Family Reasons,5,Yes
EMP3096,2024-07-12,Better Opportunity,24,Yes
EMP3100,2025-09-18,Better Opportunity,6,Yes
EMP3117,2025-02-09,Better Opportunity,43,Yes
EMP3160,2023-07-23,Better Opportunity,42,Yes
EMP3178,2024-07-07,Better Opportunity,34,Yes
EMP3184,2025-10-31,Health Issues,37,No
EMP3192,2024-04-18,Better Opportunity,30,Yes
EMP3193,2025-10-18,Family Reasons,27,Yes
EMP3208,2025-08-15,Work Conditions,9,No
EMP3223,2025-09-01,Work Conditions,18,No
EMP3228,2025-08-29,Better Opportunity,5,Yes
EMP3237,2025-10-02,Better Opportunity,14,Yes
EMP3244,2025-09-03,End of Contract,12,Yes
EMP3249,2024-03-19,Family Reasons,28,Yes
EMP3270,2022-12-11,Family Reasons,39,Yes
EMP3280,2025-02-20,Family Reasons,23,Yes
EMP3308,2025-09-11,Work Conditions,15,No
EMP3310,2025-09-26,End of Contract,3,Yes
EMP3311,2025-11-10,Better Opportunity,3,Yes
EMP3342,2025-05-10,Health Issues,26,No
EMP3353,2025-04-29,Better Opportunity,15,Yes
EMP3364,2025-08-12,Better Opportunity,28,Yes
EMP3372,2022-12-22,End of Contract,37,Yes
EMP3378,2025-08-06,End of Contract,6,Yes
EMP3380,2025-08-15,End of Contract,26,Yes
EMP3382,2024-10-15,End of Contract,18,Yes
EMP3394,2024-12-23,Family Reasons,21,Yes
EMP3417,2025-09-17,End of Contract,45,Yes
EMP3422,2025-10-23,Better Opportunity,6,Yes
EMP3430,2025-10-21,Better Opportunity,27,Yes
EMP3434,2025-11-01,Better Opportunity,8,Yes
EMP3436,2024-09-18,Work Conditions,27,No
EMP3443,2023-01-29,Terminated,40,No
EMP3463,2025-07-29,Better Opportunity,7,Yes
EMP3470,2023-08-19,End of Contract,43,Yes
EMP3485,2025-10-28,Better Opportunity,19,Yes
EMP3506,2025-08-16,End of Contract,24,Yes
EMP3510,2024-10-08,Better Opportunity,17,Yes
EMP3513,2025-03-17,Better Opportunity,23,Yes
EMP3518,2023-11-02,End of Contract,36,Yes
EMP3523,2025-10-29,End of Contract,27,Yes
EMP3527,2025-09-08,Better Opportunity,3,Yes
EMP3566,2024-10-31,Salary Issues,36,No
EMP3572,2024-10-15,Better Opportunity,19,Yes
EMP3582,2025-03-02,Salary Issues,11,No
EMP3583,2025-08-15,End of Contract,4,Yes
EMP3617,2024-07-11,Better Opportunity,20,Yes
EMP3645,2022-05-21,Family Reasons,45,Yes
EMP3662,2025-07-18,Family Reasons,6,Yes
EMP3679,2025-10-19,Better Opportunity,12,Yes
EMP3695,2025-08-08,Work Conditions,8,No
EMP3707,2025-04-01,End of Contract,16,Yes
EMP3718,2025-08-06,Terminated,33,No
EMP3721,2025-03-11,End of Contract,29,Yes
EMP3730,2024-10-26,Health Issues,31,No
EMP3732,2025-01-20,Better Opportunity,25,Yes
EMP3766,2025-08-23,End of Contract,44,Yes
EMP3774,2025-07-25,Terminated,9,No
EMP3806,2025-02-02,End of Contract,46,Yes
EMP3814,2023-03-28,Salary Issues,45,No
EMP3823,2025-10-12,Salary Issues,5,No
EMP3827,2022-09-05,End of Contract,41,Yes
EMP3843,2025-09-27,Work Conditions,25,No
EMP3864,2023-05-15,Salary Issues,40,No
EMP3874,2024-09-28,Better Opportunity,18,Yes
EMP3878,2025-05-26,End of Contract,13,Yes
EMP3895,2022-07-11,Better Opportunity,44,Yes
EMP3920,2025-01-07,End of Contract,13,Yes
EMP3956,2025-04-26,Better Opportunity,13,Yes
EMP3961,2025-08-20,Family Reasons,36,Yes
EMP3967,2025-06-01,Better Opportunity,23,Yes
EMP3972,2025-07-19,End of Contract,39,Yes
EMP4012,2024-01-16,Better Opportunity,33,Yes
EMP4020,2025-04-02,Better Opportunity,10,Yes
EMP4029,2023-12-05,End of Contract,29,Yes
EMP4031,2025-01-25,Work Conditions,11,No
EMP4034,2025-08-16,Work Conditions,8,No
EMP4047,2024-04-03,Family Reasons,44,Yes
EMP4053,2024-11-06,Better Opportunity,33,Yes
EMP4058,2025-08-21,Salary Issues,12,No
EMP4059,2025-10-08,Work Conditions,15,No
EMP4065,2025-06-08,Better Opportunity,38,Yes
EMP4071,2025-10-07,Better Opportunity,29,Yes
EMP4074,2024-12-27,End of Contract,35,Yes
EMP4129,2024-07-19,End of Contract,28,Yes
EMP4142,2025-10-16,Work Conditions,15,No
EMP4145,2024-10-14,End of Contract,36,Yes
EMP4152,2023-08-08,Work Conditions,36,No
EMP4166,2025-11-05,Better Opportunity,4,Yes
EMP4173,2025-09-06,Salary Issues,31,No
EMP4190,2025-01-01,End of Contract,23,Yes
EMP4193,2025-08-31,Work Conditions,3,No
EMP4214,2025-06-21,Better Opportunity,16,Yes
EMP4221,2024-04-26,Family Reasons,43,Yes
EMP4228,2023-02-06,End of Contract,46,Yes
EMP4265,2025-02-14,Better Opportunity,35,Yes
EMP4268,2023-12-14,Family Reasons,38,Yes
EMP4277,2025-08-27,Family Reasons,4,Yes
EMP4306,2024-09-05,End of Contract,30,Yes
EMP4313,2025-07-19,End of Contract,23,Yes
EMP4332,2025-07-16,Salary Issues,26,No
EMP4348,2023-06-18,End of Contract,36,Yes
EMP4371,2025-06-14,Better Opportunity,22,Yes
EMP4375,2025-09-21,End of Contract,3,Yes
EMP4379,2024-08-02,End of Contract,45,Yes
EMP4394,2024-11-06,End of Contract,18,Yes
EMP4405,2025-03-26,End of Contract,12,Yes
EMP4406,2023-09-14,Better Opportunity,46,Yes
EMP4426,2025-04-25,Family Reasons,38,Yes
EMP4449,2025-04-22,Family Reasons,10,Yes
EMP4499,2023-08-22,Better Opportunity,46,Yes
EMP4509,2025-01-11,Family Reasons,18,Yes
EMP4514,2025-09-03,Better Opportunity,14,Yes
EMP4518,2022-09-04,Better Opportunity,42,Yes
EMP4532,2025-05-10,End of Contract,11,Yes
EMP4535,2025-04-15,End of Contract,27,Yes
EMP4547,2025-10-02,End of Contract,7,Yes
EMP4555,2024-08-15,Better Opportunity,18,Yes
EMP4558,2024-12-22,Salary Issues,31,No
EMP4580,2024-01-27,Better Opportunity,32,Yes
EMP4600,2023-12-28,Better Opportunity,43,Yes
EMP4604,2024-08-20,Health Issues,34,No
EMP4606,2025-07-12,End of Contract,10,Yes
EMP4625,2025-01-26,Family Reasons,21,Yes
EMP4626,2025-06-03,Better Opportunity,13,Yes
EMP4658,2023-12-21,Work Conditions,29,No
EMP4661,2025-06-29,End of Contract,13,Yes
EMP4662,2024-09-22,Family Reasons,23,Yes
EMP4673,2025-09-06,Family Reasons,10,Yes
EMP4681,2025-07-19,Family Reasons,6,Yes
EMP4686,2025-04-28,Family Reasons,10,Yes
EMP4710,2024-07-27,Work Conditions,30,No
EMP4721,2024-10-29,Better Opportunity,18,Yes
EMP4723,2025-08-05,Work Conditions,5,No
EMP4746,2025-09-08,Better Opportunity,3,Yes
EMP4774,2025-09-26,Better Opportunity,3,Yes
EMP4790,2024-04-25,Better Opportunity,29,Yes
EMP4792,2025-06-28,Family Reasons,10,Yes
EMP4800,2025-05-23,End of Contract,43,Yes
EMP4810,2023-12-28,Better Opportunity,30,Yes
EMP4814,2024-11-23,End of Contract,19,Yes
EMP4829,2022-03-05,Family Reasons,46,Yes
EMP4849,2024-01-05,Better Opportunity,31,Yes
EMP4858,2025-07-03,Family Reasons,11,Yes
EMP4875,2024-03-11,Salary Issues,21,No
EMP4890,2024-01-23,Work Conditions,36,No
EMP4912,2023-06-22,End of Contract,39,Yes
EMP4916,2022-12-19,End of Contract,42,Yes
EMP4959,2025-11-02,Salary Issues,20,No
EMP4965,2024-07-04,Better Opportunity,19,Yes
EMP4989,2025-07-29,Better Opportunity,32,Yes
EMP4995,2025-05-03,End of Contract,30,Yes
EMP5004,2024-07-28,End of Contract,45,Yes
EMP5009,2023-12-14,Salary Issues,38,No
EMP5021,2024-03-21,Better Opportunity,24,Yes
EMP5024,2024-10-21,Salary Issues,22,No
EMP5030,2025-08-06,Family Reasons,5,Yes
EMP5031,2024-10-11,Health Issues,16,No
EMP5034,2025-09-26,Terminated,12,No
EMP5036,2024-11-11,Better Opportunity,18,Yes
EMP5066,2024-11-24,Better Opportunity,14,Yes
EMP5075,2025-03-06,Better Opportunity,39,Yes
EMP5078,2023-06-06,Better Opportunity,37,Yes
EMP5092,2023-10-03,End of Contract,33,Yes
EMP5122,2025-04-25,Better Opportunity,9,Yes
EMP5140,2025-11-02,Better Opportunity,31,Yes
EMP5157,2022-11-24,End of Contract,42,Yes
EMP5161,2025-04-17,Better Opportunity,28,Yes
EMP5195,2024-01-03,Family Reasons,33,Yes
EMP5196,2025-10-16,Better Opportunity,34,Yes
EMP5197,2024-05-03,Family Reasons,38,Yes
EMP5231,2025-06-24,Work Conditions,5,No
EMP5264,2023-01-10,End of Contract,39,Yes
EMP5275,2025-04-20,End of Contract,29,Yes
EMP5278,2025-05-04,Family Reasons,24,Yes
EMP5291,2025-11-12,Family Reasons,3,Yes
EMP5307,2024-03-21,Better Opportunity,37,Yes
EMP5383,2022-12-18,End of Contract,39,Yes
EMP5439,2023-05-01,Family Reasons,43,Yes
EMP5446,2025-03-21,Work Conditions,16,No
EMP5452,2025-09-05,Family Reasons,22,Yes
EMP5477,2025-09-03,Work Conditions,5,No
EMP5478,2024-04-24,End of Contract,29,Yes
EMP5490,2025-06-21,Work Conditions,6,No
EMP5504,2023-10-17,Work Conditions,45,No
EMP5512,2024-02-22,Better Opportunity,40,Yes
EMP5517,2025-09-06,End of Contract,5,Yes
EMP5522,2023-09-18,Family Reasons,39,Yes
EMP5544,2023-05-27,Salary Issues,32,No
EMP5560,2024-04-20,Better Opportunity,20,Yes
EMP5572,2025-07-16,End of Contract,20,Yes
EMP5574,2025-01-06,Better Opportunity,22,Yes
EMP5586,2025-03-29,Better Opportunity,30,Yes
EMP5617,2023-06-10,End of Contract,40,Yes
EMP5626,2025-09-05,Better Opportunity,13,Yes
EMP5634,2025-09-06,Salary Issues,44,No
EMP5640,2025-07-02,Better Opportunity,27,Yes
EMP5654,2024-07-27,Family Reasons,27,Yes
EMP5663,2025-08-24,Health Issues,5,No
EMP5672,2025-03-18,End of Contract,38,Yes
EMP5685,2023-10-08,End of Contract,37,Yes
EMP5686,2025-09-29,Salary Issues,37,No
EMP5690,2024-08-15,End of Contract,27,Yes
EMP5721,2025-07-06,Family Reasons,15,Yes
EMP5724,2025-10-04,Salary Issues,14,No
EMP5744,2024-08-22,Better Opportunity,28,Yes
EMP5747,2024-11-25,Better Opportunity,33,Yes
EMP5750,2025-07-01,Better Opportunity,26,Yes
EMP5751,2023-03-20,Better Opportunity,40,Yes
EMP5752,2024-10-22,Better Opportunity,15,Yes
EMP5806,2022-07-26,End of Contract,44,Yes
