EmployeeID,CourseName,TrainingDate,Completed,CertificateValid
EMP34554,Working at Heights,2022-12-13,Yes,Yes
EMP34554,First Aid & CPR,2022-12-24,Yes,Yes
EMP34554,Fire Safety,2023-05-19,Yes,Yes
EMP10428,Electrical Safety,2025-08-12,Yes,Yes
EMP1200,Fire Safety,2024-11-01,Yes,Yes
EMP1200,Heavy Equipment Operation,2024-05-16,Yes,Yes
EMP1200,Working at Heights,2024-07-26,Yes,Yes
EMP1200,OSHA Safety Fundamentals,2024-02-13,Yes,Yes
EMP13448,Electrical Safety,2025-08-28,Yes,Yes
EMP13448,OSHA Safety Fundamentals,2025-05-07,Yes,Yes
EMP13448,PPE Usage Training,2025-04-21,No,No
EMP40490,Confined Space Entry,2025-01-25,Yes,Yes
EMP40490,Heavy Equipment Operation,2025-03-31,Yes,Yes
EMP40490,Electrical Safety,2025-01-09,Yes,Yes
EMP40490,Fire Safety,2025-06-29,Yes,Yes
EMP43725,Working at Heights,2024-12-07,Yes,Yes
EMP43725,Heat Stress Prevention,2024-09-03,Yes,Yes
EMP43725,Confined Space Entry,2024-03-28,Yes,Yes
EMP43725,Heavy Equipment Operation,2024-06-18,No,No
EMP11823,First Aid & CPR,2023-09-22,Yes,Yes
EMP11823,Heat Stress Prevention,2023-09-24,Yes,Yes
EMP11823,Working at Heights,2023-12-06,Yes,Yes
EMP50499,Heat Stress Prevention,2023-04-07,No,No
EMP50499,Scaffolding Safety,2023-01-24,Yes,Yes
EMP5145,Heat Stress Prevention,2025-06-28,Yes,Yes
EMP5145,Scaffolding Safety,2025-08-06,Yes,Yes
EMP37959,Fire Safety,2024-12-10,Yes,Yes
EMP37959,OSHA Safety Fundamentals,2024-10-31,Yes,Yes
EMP37959,PPE Usage Training,2024-04-29,Yes,Yes
EMP37959,Heat Stress Prevention,2025-02-02,Yes,Yes
EMP44107,Heavy Equipment Operation,2023-03-29,Yes,Yes
EMP44107,Scaffolding Safety,2023-07-18,Yes,Yes
EMP44107,Confined Space Entry,2023-03-31,Yes,Yes
EMP44107,PPE Usage Training,2023-01-04,Yes,Yes
EMP39696,Fire Safety,2024-12-16,No,No
EMP39696,Confined Space Entry,2025-06-08,Yes,Yes
EMP7189,Electrical Safety,2023-10-16,Yes,Yes
EMP7189,Heat Stress Prevention,2024-07-25,Yes,Yes
EMP7189,PPE Usage Training,2024-05-19,Yes,Yes
EMP7189,Heavy Equipment Operation,2024-05-21,Yes,Yes
EMP2415,Scaffolding Safety,2025-08-13,Yes,Yes
EMP19472,Fire Safety,2023-01-04,Yes,Yes
EMP30283,Scaffolding Safety,2025-06-01,Yes,Yes
EMP30283,Heavy Equipment Operation,2025-02-15,Yes,Yes
EMP30283,Fire Safety,2024-07-28,Yes,Yes
EMP30283,PPE Usage Training,2024-11-10,No,No
EMP16178,Electrical Safety,2024-06-08,Yes,Yes
EMP16178,Confined Space Entry,2024-07-10,Yes,Yes
EMP16178,First Aid & CPR,2024-09-28,Yes,Yes
EMP35305,Fire Safety,2023-06-14,Yes,Yes
EMP35305,Working at Heights,2023-02-02,Yes,Yes
EMP13610,Electrical Safety,2025-03-05,No,No
EMP13145,Electrical Safety,2025-02-04,Yes,Yes
EMP13145,Heavy Equipment Operation,2024-11-14,Yes,Yes
EMP13145,Heat Stress Prevention,2025-05-10,Yes,Yes
EMP7114,First Aid & CPR,2025-01-11,Yes,Yes
EMP7114,Scaffolding Safety,2025-06-11,No,No
EMP16909,Fire Safety,2024-03-10,No,No
EMP16909,PPE Usage Training,2024-05-24,Yes,Yes
EMP16909,Heavy Equipment Operation,2024-06-04,Yes,Yes
EMP16909,Electrical Safety,2024-03-12,Yes,Yes
EMP1822,First Aid & CPR,2025-07-06,Yes,Yes
EMP16119,Electrical Safety,2025-02-05,No,No
EMP16119,PPE Usage Training,2025-01-11,Yes,Yes
EMP16119,Fire Safety,2024-06-30,Yes,Yes
EMP14467,Heat Stress Prevention,2023-10-23,Yes,Yes
EMP27498,Working at Heights,2023-12-28,Yes,Yes
EMP43112,Heavy Equipment Operation,2025-07-14,Yes,Yes
EMP43112,OSHA Safety Fundamentals,2025-02-06,Yes,Yes
EMP43112,PPE Usage Training,2025-10-09,Yes,Yes
EMP43112,Fire Safety,2025-08-29,Yes,Yes
EMP31189,Confined Space Entry,2024-12-16,Yes,Yes
EMP38238,Electrical Safety,2022-10-10,Yes,Yes
EMP34110,Working at Heights,2025-01-17,Yes,Yes
EMP37481,OSHA Safety Fundamentals,2022-12-05,Yes,Yes
EMP25149,PPE Usage Training,2025-04-19,Yes,Yes
EMP25149,Heat Stress Prevention,2025-01-08,Yes,Yes
EMP25149,First Aid & CPR,2024-10-09,Yes,Yes
EMP25149,Fire Safety,2025-01-28,Yes,Yes
EMP6504,Working at Heights,2024-08-06,Yes,Yes
EMP4919,Heavy Equipment Operation,2023-04-14,Yes,Yes
EMP4919,Scaffolding Safety,2023-05-03,Yes,Yes
EMP39479,PPE Usage Training,2023-02-20,Yes,Yes
EMP39479,Fire Safety,2023-11-29,Yes,Yes
EMP22124,Confined Space Entry,2025-01-07,Yes,Yes
EMP50718,Heat Stress Prevention,2024-10-23,No,No
EMP43295,First Aid & CPR,2023-03-10,Yes,Yes
EMP43295,Confined Space Entry,2023-05-26,Yes,Yes
EMP43295,Heat Stress Prevention,2023-05-04,Yes,Yes
EMP48610,OSHA Safety Fundamentals,2025-07-18,Yes,Yes
EMP48610,Electrical Safety,2025-09-20,Yes,Yes
EMP48610,Heat Stress Prevention,2025-07-23,No,No
EMP48610,Scaffolding Safety,2025-04-25,Yes,Yes
EMP12077,First Aid & CPR,2025-10-09,No,No
EMP42515,Working at Heights,2023-05-23,Yes,Yes
EMP42515,PPE Usage Training,2023-11-22,Yes,Yes
EMP23063,PPE Usage Training,2025-07-18,No,No
EMP23063,Confined Space Entry,2025-06-12,Yes,Yes
EMP23063,Heat Stress Prevention,2025-07-10,Yes,Yes
EMP23063,Scaffolding Safety,2025-10-23,Yes,Yes
EMP10414,Confined Space Entry,2023-05-11,Yes,Yes
EMP39341,Scaffolding Safety,2023-07-06,Yes,Yes
EMP31264,OSHA Safety Fundamentals,2023-03-02,Yes,Yes
EMP31264,Electrical Safety,2022-10-12,Yes,Yes
EMP31264,Fire Safety,2023-03-15,Yes,Yes
EMP31264,Working at Heights,2022-12-04,Yes,Yes
EMP42253,Heavy Equipment Operation,2024-05-28,Yes,Yes
EMP42253,Electrical Safety,2024-08-15,Yes,Yes
EMP42253,Working at Heights,2024-02-15,No,No
EMP15645,Fire Safety,2024-02-08,Yes,Yes
EMP15645,PPE Usage Training,2024-04-27,Yes,Yes
EMP15645,Confined Space Entry,2024-04-12,Yes,Yes
EMP15645,Scaffolding Safety,2024-08-05,Yes,Yes
EMP27336,PPE Usage Training,2025-05-01,No,No
EMP27336,Working at Heights,2025-06-27,Yes,Yes
EMP27336,Fire Safety,2024-12-26,Yes,Yes
EMP29103,Confined Space Entry,2023-01-31,Yes,Yes
EMP29103,Working at Heights,2023-03-27,Yes,Yes
EMP18524,First Aid & CPR,2025-02-09,Yes,Yes
EMP18524,Confined Space Entry,2024-11-01,Yes,Yes
EMP18524,Electrical Safety,2024-03-15,Yes,Yes
EMP25713,OSHA Safety Fundamentals,2022-10-05,Yes,Yes
EMP25713,Electrical Safety,2023-01-24,Yes,Yes
EMP25713,Scaffolding Safety,2023-01-09,Yes,Yes
EMP41486,Working at Heights,2025-07-08,Yes,Yes
EMP41486,Scaffolding Safety,2025-06-23,Yes,Yes
EMP41486,Fire Safety,2025-07-30,Yes,Yes
EMP41486,First Aid & CPR,2025-09-14,Yes,Yes
EMP4851,Fire Safety,2023-01-25,Yes,Yes
EMP41041,Scaffolding Safety,2024-12-13,Yes,Yes
EMP41041,OSHA Safety Fundamentals,2025-08-20,Yes,Yes
EMP16268,Confined Space Entry,2023-07-18,Yes,Yes
EMP16268,Fire Safety,2023-08-31,Yes,Yes
EMP16268,PPE Usage Training,2022-11-05,Yes,Yes
EMP50147,OSHA Safety Fundamentals,2023-08-14,Yes,Yes
EMP50147,Heat Stress Prevention,2023-07-26,Yes,Yes
EMP31002,Scaffolding Safety,2024-04-01,Yes,Yes
EMP46927,Scaffolding Safety,2023-01-18,Yes,Yes
EMP46927,Electrical Safety,2023-02-06,Yes,Yes
EMP44825,First Aid & CPR,2025-03-28,Yes,Yes
EMP44825,Heavy Equipment Operation,2025-10-05,Yes,Yes
EMP44825,Confined Space Entry,2025-04-14,Yes,Yes
EMP44825,Scaffolding Safety,2025-01-24,Yes,Yes
EMP18241,Confined Space Entry,2024-05-10,Yes,Yes
EMP18241,Heat Stress Prevention,2024-09-17,Yes,Yes
EMP18241,Working at Heights,2024-10-16,No,No
EMP5893,Heat Stress Prevention,2025-11-02,Yes,Yes
EMP5893,Electrical Safety,2025-10-29,Yes,Yes
EMP1726,Working at Heights,2023-04-24,Yes,Yes
EMP1726,PPE Usage Training,2023-10-14,Yes,Yes
EMP1726,Heavy Equipment Operation,2023-08-02,Yes,Yes
EMP1726,Scaffolding Safety,2023-06-24,Yes,Yes
EMP23950,Electrical Safety,2025-05-12,Yes,Yes
EMP23950,Working at Heights,2025-03-25,Yes,Yes
EMP35658,Fire Safety,2024-02-04,Yes,Yes
EMP38214,Heavy Equipment Operation,2022-04-21,Yes,Yes
EMP38214,Electrical Safety,2022-05-31,Yes,Yes
EMP38214,Scaffolding Safety,2022-04-24,Yes,Yes
EMP38214,Working at Heights,2023-02-09,Yes,Yes
EMP21305,OSHA Safety Fundamentals,2024-10-20,Yes,Yes
EMP21305,Electrical Safety,2024-12-13,Yes,Yes
EMP21305,PPE Usage Training,2024-12-02,Yes,Yes
EMP21305,Fire Safety,2025-08-20,Yes,Yes
EMP16270,Electrical Safety,2025-07-27,Yes,Yes
EMP16270,OSHA Safety Fundamentals,2025-05-25,No,No
EMP23368,Working at Heights,2022-11-02,Yes,Yes
